node_index,node_id,node_type,node_name,node_source
0,9796,gene/protein,PHYHIP,NCBI
1,7918,gene/protein,GPANK1,NCBI
2,8233,gene/protein,ZRSR2,NCBI
3,4899,gene/protein,NRF1,NCBI
4,5297,gene/protein,PI4KA,NCBI
5,6564,gene/protein,SLC15A1,NCBI
6,8668,gene/protein,EIF3I,NCBI
7,10826,gene/protein,FAXDC2,NCBI
8,4489,gene/protein,MT1A,NCBI
9,6272,gene/protein,SORT1,NCBI
10,4041,gene/protein,LRP5,NCBI
11,6202,gene/protein,RPS8,NCBI
12,924,gene/protein,CD7,NCBI
13,65005,gene/protein,MRPL9,NCBI
14,5704,gene/protein,PSMC4,NCBI
15,1958,gene/protein,EGR1,NCBI
16,6633,gene/protein,SNRPD2,NCBI
17,85289,gene/protein,KRTAP4-5,NCBI
18,6872,gene/protein,TAF1,NCBI
19,10451,gene/protein,VAV3,NCBI
20,3846,gene/protein,KRTAP5-9,NCBI
21,3163,gene/protein,HMOX2,NCBI
22,2353,gene/protein,FOS,NCBI
23,5611,gene/protein,DNAJC3,NCBI
24,3965,gene/protein,LGALS9,NCBI
25,4609,gene/protein,MYC,NCBI
26,9064,gene/protein,MAP3K6,NCBI
27,54474,gene/protein,KRT20,NCBI
28,114791,gene/protein,TUBGCP5,NCBI
29,2147,gene/protein,F2,NCBI
30,1759,gene/protein,DNM1,NCBI
31,10726,gene/protein,NUDC,NCBI
32,963,gene/protein,CD53,NCBI
33,2932,gene/protein,GSK3B,NCBI
34,55739,gene/protein,NAXD,NCBI
35,57709,gene/protein,SLC7A14,NCBI
36,5817,gene/protein,PVR,NCBI
37,1186,gene/protein,CLCN7,NCBI
38,891,gene/protein,CCNB1,NCBI
39,22809,gene/protein,ATF5,NCBI
40,1017,gene/protein,CDK2,NCBI
41,4728,gene/protein,NDUFS8,NCBI
42,5307,gene/protein,PITX1,NCBI
43,5295,gene/protein,PIK3R1,NCBI
44,6732,gene/protein,SRPK1,NCBI
45,3238,gene/protein,HOXD12,NCBI
46,28969,gene/protein,BZW2,NCBI
47,10454,gene/protein,TAB1,NCBI
48,344387,gene/protein,CDKL4,NCBI
49,84988,gene/protein,PPP1R16A,NCBI
50,2114,gene/protein,ETS2,NCBI
51,6667,gene/protein,SP1,NCBI
52,28511,gene/protein,NKIRAS2,NCBI
53,3433,gene/protein,IFIT2,NCBI
54,6790,gene/protein,AURKA,NCBI
55,6434,gene/protein,TRA2B,NCBI
56,10524,gene/protein,KAT5,NCBI
57,30012,gene/protein,TLX3,NCBI
58,22803,gene/protein,XRN2,NCBI
59,6125,gene/protein,RPL5,NCBI
60,8773,gene/protein,SNAP23,NCBI
61,801,gene/protein,CALM1,NCBI
62,3628,gene/protein,INPP1,NCBI
63,5536,gene/protein,PPP5C,NCBI
64,9129,gene/protein,PRPF3,NCBI
65,10291,gene/protein,SF3A1,NCBI
66,7536,gene/protein,SF1,NCBI
67,4233,gene/protein,MET,NCBI
68,1869,gene/protein,E2F1,NCBI
69,5810,gene/protein,RAD1,NCBI
70,3866,gene/protein,KRT15,NCBI
71,10664,gene/protein,CTCF,NCBI
72,5875,gene/protein,RABGGTA,NCBI
73,8533,gene/protein,COPS3,NCBI
74,151,gene/protein,ADRA2B,NCBI
75,4637,gene/protein,MYL6,NCBI
76,4682,gene/protein,NUBP1,NCBI
77,339834,gene/protein,IHO1,NCBI
78,7428,gene/protein,VHL,NCBI
79,27069,gene/protein,GHITM,NCBI
80,675,gene/protein,BRCA2,NCBI
81,166,gene/protein,TLE5,NCBI
82,1122,gene/protein,CHML,NCBI
83,1175,gene/protein,AP2S1,NCBI
84,4809,gene/protein,SNU13,NCBI
85,1650,gene/protein,DDOST,NCBI
86,6502,gene/protein,SKP2,NCBI
87,3181,gene/protein,HNRNPA2B1,NCBI
88,26121,gene/protein,PRPF31,NCBI
89,135932,gene/protein,TMEM139,NCBI
90,682,gene/protein,BSG,NCBI
91,754,gene/protein,PTTG1IP,NCBI
92,1203,gene/protein,CLN5,NCBI
93,1847,gene/protein,DUSP5,NCBI
94,9921,gene/protein,RNF10,NCBI
95,4726,gene/protein,NDUFS6,NCBI
96,65220,gene/protein,NADK,NCBI
97,10159,gene/protein,ATP6AP2,NCBI
98,5476,gene/protein,CTSA,NCBI
99,2770,gene/protein,GNAI1,NCBI
100,10484,gene/protein,SEC23A,NCBI
101,10455,gene/protein,ECI2,NCBI
102,7182,gene/protein,NR2C2,NCBI
103,80854,gene/protein,SETD7,NCBI
104,10946,gene/protein,SF3A3,NCBI
105,7580,gene/protein,ZNF32,NCBI
106,3169,gene/protein,FOXA1,NCBI
107,7341,gene/protein,SUMO1,NCBI
108,1111,gene/protein,CHEK1,NCBI
109,7014,gene/protein,TERF2,NCBI
110,6839,gene/protein,SUV39H1,NCBI
111,7276,gene/protein,TTR,NCBI
112,339229,gene/protein,OXLD1,NCBI
113,11325,gene/protein,DDX42,NCBI
114,9135,gene/protein,RABEP1,NCBI
115,84277,gene/protein,DNAJC30,NCBI
116,841,gene/protein,CASP8,NCBI
117,23137,gene/protein,SMC5,NCBI
118,358,gene/protein,AQP1,NCBI
119,2113,gene/protein,ETS1,NCBI
120,7013,gene/protein,TERF1,NCBI
121,23404,gene/protein,EXOSC2,NCBI
122,8646,gene/protein,CHRD,NCBI
123,6789,gene/protein,STK4,NCBI
124,51614,gene/protein,ERGIC3,NCBI
125,1956,gene/protein,EGFR,NCBI
126,3024,gene/protein,H1-1,NCBI
127,3662,gene/protein,IRF4,NCBI
128,120939,gene/protein,TMEM52B,NCBI
129,8335,gene/protein,H2AC4,NCBI
130,2623,gene/protein,GATA1,NCBI
131,1053,gene/protein,CEBPE,NCBI
132,353132,gene/protein,LCE1B,NCBI
133,1460,gene/protein,CSNK2B,NCBI
134,23013,gene/protein,SPEN,NCBI
135,5499,gene/protein,PPP1CA,NCBI
136,7375,gene/protein,USP4,NCBI
137,7107,gene/protein,GPR137B,NCBI
138,3303,gene/protein,HSPA1A,NCBI
